107.73,-109.91,0.0223,-0.0849,-0.0255,zigzag
113.71,-121.61,0.2207,-0.565,-0.654,zigzag
110.27,-124.94,0.0919,-0.3836,-0.8728,zigzag
99.73,-111.27,-0.2453,-0.0643,-0.3591,zigzag
82.2,-32.57,-0.5783,0.0544,0.1368,zigzag
71.82,-6.98,-0.9033,0.3768,0.5151,zigzag
64.44,-8.79,-0.4515,0.3006,0.215,zigzag
58.29,-5.79,-0.1667,0.0552,-0.14,zigzag
50.45,3.05,0.0494,-0.1236,-0.3288,zigzag
34.72,15.39,0.1696,-0.5086,-0.275,zigzag
14.06,25.71,0.0975,-0.0986,0.2156,zigzag
0.1,29.57,-0.1252,0.3643,0.6937,zigzag
-8.36,28.96,0.1177,0.2082,0.5743,zigzag
-10.8,25.01,0.4566,-0.1254,0.2584,zigzag
-12.93,22.18,0.4975,-0.1522,-0.0487,zigzag
-18.65,15.65,0.2739,-0.015,-0.237,zigzag
-26.69,7.71,-0.6663,0.0988,0.1219,zigzag
-22.43,13.01,-0.3687,0.0837,0.0518,zigzag
-15.3,15.84,0.1195,-0.1956,-0.0454,zigzag
-10.52,17.5,0.4843,-0.2836,-0.3002,zigzag
-11.36,16.9,0.4451,-0.2182,-0.4772,zigzag
-19.19,14.38,0.173,-0.0916,-0.3065,zigzag
-27.69,12.56,-0.6831,0.3276,0.4262,zigzag
-25.38,13.25,-0.513,0.1398,0.4938,zigzag
109.84,-120.66,0.0841,-0.2121,-0.7943,zigzag
102.35,-111.91,-0.2446,-0.14,-0.3549,zigzag
81.16,-58.02,-0.4803,-0.0578,-0.008,zigzag
73.34,-17.33,-0.5803,0.2833,0.3308,zigzag
66.31,-17.4,-0.4351,0.268,0.2409,zigzag
62.02,-18.54,-0.3945,0.169,0.1368,zigzag
56.17,-16.08,-0.0723,0.0694,-0.0278,zigzag
47.19,-6.41,0.227,-0.2436,-0.1389,zigzag
35.86,5.9,0.2249,-0.2813,-0.112,zigzag
21.7,18.91,0.0974,0.1723,0.2161,zigzag
10.74,21.97,0.1942,-0.076,0.3979,zigzag
10.74,21.97,0.1942,-0.076,0.3979,zigzag
-0.46,21.88,0.3079,-0.0823,0.1912,zigzag
-4.7,18.54,0.3862,-0.2214,-0.1403,zigzag
-12.14,14.86,0.337,-0.0743,-0.2979,zigzag
-22.1,10.62,-0.1684,0.1777,0.0321,zigzag
-28.45,6.83,-0.8758,0.3587,0.5897,zigzag
-24.62,9.53,-0.5899,0.0872,0.1311,zigzag
-18.47,12.23,-0.2175,-0.0349,-0.0443,zigzag
-9.79,13.73,0.5307,-0.2082,-0.4631,zigzag
-13.29,10.12,0.4588,-0.2144,-0.5323,zigzag
-25.11,3.88,-0.0329,-0.0621,-0.2497,zigzag
-34.34,-0.67,-0.7059,0.1975,0.4038,zigzag
