18.15,34.36,0.0311,0.0744,0.2947,elbow_lock
18.92,38.43,0.4265,0.3626,0.4064,elbow_lock
19.31,35.93,0.5162,0.55,0.2446,elbow_lock
19.93,27.42,0.4862,0.4116,0.1145,elbow_lock
20.52,17.03,0.4091,0.2548,-0.0266,elbow_lock
21.1,2.55,0.3248,0.118,-0.1781,elbow_lock
21.61,-6.09,0.2876,0.0172,-0.1881,elbow_lock
22.79,-11.04,0.2698,0.0817,-0.2077,elbow_lock
23.68,-12.84,0.2396,0.2332,-0.2244,elbow_lock
24.4,-17.52,0.1081,0.3056,-0.311,elbow_lock
24.74,-21.36,-0.0281,0.2723,-0.3702,elbow_lock
25.29,-24.09,-0.139,0.2648,-0.3909,elbow_lock
26.26,-26.47,-0.2167,0.2868,-0.3981,elbow_lock
26.9,-27.31,-0.2722,0.2968,-0.3757,elbow_lock
27.45,-26.35,-0.3779,0.2841,-0.3214,elbow_lock
28.18,-23,-0.4108,0.2026,-0.2739,elbow_lock
28.69,-16.5,-0.4341,0.1409,-0.2078,elbow_lock
28.07,-4.77,-0.4521,0.252,-0.0983,elbow_lock
25.84,1.32,-0.4374,0.2635,0.2093,elbow_lock
21.67,7.9,-0.3662,0.1745,0.3291,elbow_lock
18.03,12.36,-0.2766,0.15,0.3235,elbow_lock
13.57,18.28,-0.2282,0.1301,0.4313,elbow_lock
7.98,26.9,-0.2345,0.2105,0.5271,elbow_lock
5.59,30.89,-0.0933,0.2943,0.5605,elbow_lock
3.79,31.31,0.1816,0.3365,0.5382,elbow_lock
2.8,28.14,0.2705,0.3186,0.3787,elbow_lock
2.44,22.87,0.3566,0.3262,0.1736,elbow_lock
1.78,12.8,0.3953,0.2774,-0.1035,elbow_lock
1.23,5.5,0.39,0.1989,-0.3158,elbow_lock
0.18,-2.22,0.3193,0.1125,-0.4584,elbow_lock
-0.36,-5.73,0.2509,0.0379,-0.4943,elbow_lock
-0.33,-7.59,0.1942,-0.0336,-0.51,elbow_lock
0.31,-6.66,0.1666,-0.0689,-0.4896,elbow_lock
2.02,-3.11,0.1879,-0.0692,-0.4683,elbow_lock
6.74,4.31,0.3362,-0.0512,-0.2822,elbow_lock
11.55,11.24,0.4783,-0.0274,0.0448,elbow_lock
15.15,18.73,0.3524,0.1992,0.3916,elbow_lock
16.1,21.36,0.131,0.1396,0.4925,elbow_lock
17.73,21.13,-0.0452,0.2703,0.5319,elbow_lock
19.14,12.48,-0.1942,0.3205,0.5317,elbow_lock
19.25,3.9,-0.2701,0.332,0.4773,elbow_lock
17.25,-8.84,-0.3413,0.3074,0.3698,elbow_lock
14.71,-15.48,-0.4487,0.3216,0.2629,elbow_lock
10.92,-23.85,-0.3776,0.4896,0.0881,elbow_lock
7.11,-30.57,-0.2952,0.4114,-0.0776,elbow_lock
3.19,-33.87,-0.1897,0.3725,-0.2183,elbow_lock
